Variety,Subgroup,Family,ISO639,Glottolog_ID,AIATSIS_Code,StdLangID,StdLanguageName,OriginalForm,PhonemicisedIPA,Std_Gloss,Author,OriginalGloss,OriginalPofSpeech,Latitude,Longitude,Reconstruction_Form,Reconstruction_Level,Reconstruction_Gloss,Reconstruction_Notes
Gamilaraay,Central NSW,Pama-Nyungan,kld,gami1243,D23,1023,Gamilaraay,girran,kiran,ashes,"Ash, A. and Lissarrague, A. and Giacon, J",ashes,N,-29.91686548094372,149.6172318830019,*kirran,Central-NSW,ashes,
Gamilaraay,Central NSW,Pama-Nyungan,kld,gami1243,D23,1023,Gamilaraay,-bidi,-piti,big,"Ash, A. and Lissarrague, A. and Giacon, J",big,Adj,-29.91686548094372,149.6172318830019,*-piti,N/A,big,
Gamilaraay,Central NSW,Pama-Nyungan,kld,gami1243,D23,1023,Gamilaraay,yii-li,jiːli,bite,"Ash, A. and Lissarrague, A. and Giacon, J",bite,V,-29.91686548094372,149.6172318830019,*yii-li,Central-NSW,bite,
Gamilaraay,Central NSW,Pama-Nyungan,kld,gami1243,D23,1023,Gamilaraay,buluuy,puluːj,black,"Ash, A. and Lissarrague, A. and Giacon, J",black,Adj,-29.91686548094372,149.6172318830019,*bulu:y,Central-NSW,black,
Gamilaraay,Central NSW,Pama-Nyungan,kld,gami1243,D23,1023,Gamilaraay,galiya-y,kalijaj,climb,"Ash, A. and Lissarrague, A. and Giacon, J",climb,V,-29.91686548094372,149.6172318830019,*kaliya-y,N/A,climb,
Gamilaraay,Central NSW,Pama-Nyungan,kld,gami1243,D23,1023,Gamilaraay,yu-gi,juki,"cry, weep","Ash, A. and Lissarrague, A. and Giacon, J",cry,Vi,-29.91686548094372,149.6172318830019,*yu-ki,N/A,cry,
Gamilaraay,Central NSW,Pama-Nyungan,kld,gami1243,D23,1023,Gamilaraay,garra-li,karali,cut,"Ash, A. and Lissarrague, A. and Giacon, J",cut,Vt,-29.91686548094372,149.6172318830019,*karra-li,N/A,cut,
Gamilaraay,Central NSW,Pama-Nyungan,kld,gami1243,D23,1023,Gamilaraay,"buruma, mirri",puɹuma,dog,"Ash, A. and Lissarrague, A. and Giacon, J",dog,N,-29.91686548094372,149.6172318830019,,,,
Gamilaraay,Central NSW,Pama-Nyungan,kld,gami1243,D23,1023,Gamilaraay,ngadaa,ŋataː,below,"Ash, A. and Lissarrague, A. and Giacon, J","down, below",Adv,-29.91686548094372,149.6172318830019,,,,
Gamilaraay,Central NSW,Pama-Nyungan,kld,gami1243,D23,1023,Gamilaraay,ngarribaa,ŋaripaː,east,"Ash, A. and Lissarrague, A. and Giacon, J",east,N,-29.91686548094372,149.6172318830019,,,,
